Name,Maths,English,Science,Art,Geography,History,Total Score,Average,Grade
Aaron,100,70,50,70,80,60,430,71.66666666666667,B
Jane,100,100,100,100,50,50,500,83.33333333333333,A-
Jackson,70,30,20,90,80,90,380,63.333333333333336,FAIL
Kennedy,90,70,100,100,90,80,530,88.33333333333333,A
Kehinde,80,70,50,70,80,60,410,68.33333333333333,C+
Mio,50,50,50,50,50,50,300,50.0,FAIL
Jackson,70,30,20,90,80,90,380,63.333333333333336,FAIL
Kennedy,90,70,100,100,90,80,530,88.33333333333333,A
Jason,80,70,50,70,80,60,410,68.33333333333333,C+
Mio,50,50,50,50,50,50,300,50.0,FAIL
Jackson,70,30,20,90,80,90,380,63.333333333333336,FAIL
Kennedy,90,70,100,100,90,80,530,88.33333333333333,A
Jason,80,70,50,70,80,60,410,68.33333333333333,C+
Mio,50,50,50,50,50,50,300,50.0,FAIL
Jackson,70,30,20,90,80,90,380,63.333333333333336,FAIL
Kennedy,90,70,100,100,90,80,530,88.33333333333333,A
Jason,80,70,50,70,80,60,410,68.33333333333333,C+
Mio,50,50,50,50,50,50,300,50.0,FAIL
Jackson,70,30,20,90,80,90,380,63.333333333333336,FAIL
Kennedy,90,70,100,100,90,80,530,88.33333333333333,A
Kelton,90,70,89,99,82,92,522,87.0,A
